CCLASStreamConcThickenerFeedStream_Ag;$C$320
CCLASStreamConcThickenerFeedStream_Au;$C$319
CCLASStreamConcThickenerFeedStream_Cu;$C$317
CCLASStreamConcThickenerFeedStream_F;$C$323
CCLASStreamConcThickenerFeedStream_Fe;$C$318
CCLASStreamConcThickenerFeedStream_Mass;$C$316
CCLASStreamConcThickenerFeedStream_S;$C$321
CCLASStreamConcThickenerFeedStream_U;$C$322
CCLASStreamFlotationTailsStream_Ag;$C$328
CCLASStreamFlotationTailsStream_Au;$C$327
CCLASStreamFlotationTailsStream_Cu;$C$325
CCLASStreamFlotationTailsStream_F;$C$331
CCLASStreamFlotationTailsStream_Fe;$C$326
CCLASStreamFlotationTailsStream_Mass;$C$324
CCLASStreamFlotationTailsStream_S;$C$329
CCLASStreamFlotationTailsStream_U;$C$330
CCLASStreamRougherFeedStream_Ag;$C$336
CCLASStreamRougherFeedStream_Au;$C$335
CCLASStreamRougherFeedStream_Cu;$C$333
CCLASStreamRougherFeedStream_F;$C$339
CCLASStreamRougherFeedStream_Fe;$C$334
CCLASStreamRougherFeedStream_Mass;$C$332
CCLASStreamRougherFeedStream_S;$C$337
CCLASStreamRougherFeedStream_U;$C$338
ConcStorageTank1_close_Ag;$C$348
ConcStorageTank1_close_Au;$C$346
ConcStorageTank1_close_Cu;$C$342
ConcStorageTank1_close_F;$C$354
ConcStorageTank1_close_Fe;$C$344
ConcStorageTank1_close_Mass;$C$340
ConcStorageTank1_close_S;$C$350
ConcStorageTank1_close_U;$C$352
ConcStorageTank1_open_Ag;$C$349
ConcStorageTank1_open_Au;$C$347
ConcStorageTank1_open_Cu;$C$343
ConcStorageTank1_open_F;$C$355
ConcStorageTank1_open_Fe;$C$345
ConcStorageTank1_open_Mass;$C$341
ConcStorageTank1_open_S;$C$351
ConcStorageTank1_open_U;$C$353
ConcStorageTank1FeedStream_Ag;$C$360
ConcStorageTank1FeedStream_Au;$C$359
ConcStorageTank1FeedStream_Cu;$C$357
ConcStorageTank1FeedStream_F;$C$363
ConcStorageTank1FeedStream_Fe;$C$358
ConcStorageTank1FeedStream_Mass;$C$356
ConcStorageTank1FeedStream_S;$C$361
ConcStorageTank1FeedStream_U;$C$362
ConcStorageTank1UnderflowStream_Ag;$C$368
ConcStorageTank1UnderflowStream_Au;$C$367
ConcStorageTank1UnderflowStream_Cu;$C$365
ConcStorageTank1UnderflowStream_F;$C$371
ConcStorageTank1UnderflowStream_Fe;$C$366
ConcStorageTank1UnderflowStream_Mass;$C$364
ConcStorageTank1UnderflowStream_S;$C$369
ConcStorageTank1UnderflowStream_U;$C$370
ConcStorageTank2_close_Ag;$C$380
ConcStorageTank2_close_Au;$C$378
ConcStorageTank2_close_Cu;$C$374
ConcStorageTank2_close_F;$C$386
ConcStorageTank2_close_Fe;$C$376
ConcStorageTank2_close_Mass;$C$372
ConcStorageTank2_close_S;$C$382
ConcStorageTank2_close_U;$C$384
ConcStorageTank2_open_Ag;$C$381
ConcStorageTank2_open_Au;$C$379
ConcStorageTank2_open_Cu;$C$375
ConcStorageTank2_open_F;$C$387
ConcStorageTank2_open_Fe;$C$377
ConcStorageTank2_open_Mass;$C$373
ConcStorageTank2_open_S;$C$383
ConcStorageTank2_open_U;$C$385
ConcStorageTank2FeedStream_Ag;$C$392
ConcStorageTank2FeedStream_Au;$C$391
ConcStorageTank2FeedStream_Cu;$C$389
ConcStorageTank2FeedStream_F;$C$395
ConcStorageTank2FeedStream_Fe;$C$390
ConcStorageTank2FeedStream_Mass;$C$388
ConcStorageTank2FeedStream_S;$C$393
ConcStorageTank2FeedStream_U;$C$394
ConcStorageTank2UnderflowStream_Ag;$C$400
ConcStorageTank2UnderflowStream_Au;$C$399
ConcStorageTank2UnderflowStream_Cu;$C$397
ConcStorageTank2UnderflowStream_F;$C$403
ConcStorageTank2UnderflowStream_Fe;$C$398
ConcStorageTank2UnderflowStream_Mass;$C$396
ConcStorageTank2UnderflowStream_S;$C$401
ConcStorageTank2UnderflowStream_U;$C$402
ConcThickener_close_Ag;$C$412
ConcThickener_close_Au;$C$410
ConcThickener_close_Cu;$C$406
ConcThickener_close_F;$C$418
ConcThickener_close_Fe;$C$408
ConcThickener_close_Mass;$C$404
ConcThickener_close_S;$C$414
ConcThickener_close_U;$C$416
ConcThickener_open_Ag;$C$413
ConcThickener_open_Au;$C$411
ConcThickener_open_Cu;$C$407
ConcThickener_open_F;$C$419
ConcThickener_open_Fe;$C$409
ConcThickener_open_Mass;$C$405
ConcThickener_open_S;$C$415
ConcThickener_open_U;$C$417
ConcThickenerUnderflowStream_Ag;$C$424
ConcThickenerUnderflowStream_Au;$C$423
ConcThickenerUnderflowStream_Cu;$C$421
ConcThickenerUnderflowStream_F;$C$427
ConcThickenerUnderflowStream_Fe;$C$422
ConcThickenerUnderflowStream_Mass;$C$420
ConcThickenerUnderflowStream_S;$C$425
ConcThickenerUnderflowStream_U;$C$426
CrushedOreStream_Ag;$C$513
CrushedOreStream_Au;$C$512
CrushedOreStream_Cu;$C$510
CrushedOreStream_F;$C$516
CrushedOreStream_Fe;$C$511
CrushedOreStream_S;$C$514
CrushedOreStream_U;$C$515
OSAStreamConcThickenerFeedStream_Ag;$C$432
OSAStreamConcThickenerFeedStream_Au;$C$431
OSAStreamConcThickenerFeedStream_Cu;$C$429
OSAStreamConcThickenerFeedStream_F;$C$435
OSAStreamConcThickenerFeedStream_Fe;$C$430
OSAStreamConcThickenerFeedStream_Mass;$C$428
OSAStreamConcThickenerFeedStream_S;$C$433
OSAStreamConcThickenerFeedStream_U;$C$434
OSAStreamFlotationTailsStream_Ag;$C$440
OSAStreamFlotationTailsStream_Au;$C$439
OSAStreamFlotationTailsStream_Cu;$C$437
OSAStreamFlotationTailsStream_F;$C$443
OSAStreamFlotationTailsStream_Fe;$C$438
OSAStreamFlotationTailsStream_Mass;$C$436
OSAStreamFlotationTailsStream_S;$C$441
OSAStreamFlotationTailsStream_U;$C$442
OSAStreamRougherFeedStream_Ag;$C$448
OSAStreamRougherFeedStream_Au;$C$447
OSAStreamRougherFeedStream_Cu;$C$445
OSAStreamRougherFeedStream_F;$C$451
OSAStreamRougherFeedStream_Fe;$C$446
OSAStreamRougherFeedStream_Mass;$C$444
OSAStreamRougherFeedStream_S;$C$449
OSAStreamRougherFeedStream_U;$C$450
PressureFilterFeedStream_Ag;$C$456
PressureFilterFeedStream_Au;$C$455
PressureFilterFeedStream_Cu;$C$453
PressureFilterFeedStream_F;$C$459
PressureFilterFeedStream_Fe;$C$454
PressureFilterFeedStream_Mass;$C$452
PressureFilterFeedStream_S;$C$457
PressureFilterFeedStream_U;$C$458
PressureFilterUnderflowStream_Ag;$C$464
PressureFilterUnderflowStream_Au;$C$463
PressureFilterUnderflowStream_Cu;$C$461
PressureFilterUnderflowStream_F;$C$467
PressureFilterUnderflowStream_Fe;$C$462
PressureFilterUnderflowStream_Mass;$C$460
PressureFilterUnderflowStream_S;$C$465
PressureFilterUnderflowStream_U;$C$466
SAGMillFeedStream_Ag;$C$472
SAGMillFeedStream_Au;$C$471
SAGMillFeedStream_Cu;$C$469
SAGMillFeedStream_F;$C$475
SAGMillFeedStream_Fe;$C$470
SAGMillFeedStream_Mass;$C$468
SAGMillFeedStream_S;$C$473
SAGMillFeedStream_U;$C$474
SpillageReturnStream_Ag;$C$480
SpillageReturnStream_Au;$C$479
SpillageReturnStream_Cu;$C$477
SpillageReturnStream_F;$C$483
SpillageReturnStream_Fe;$C$478
SpillageReturnStream_Mass;$C$476
SpillageReturnStream_S;$C$481
SpillageReturnStream_U;$C$482
TailsThickenerUnderflowStream_Ag;$C$488
TailsThickenerUnderflowStream_Au;$C$487
TailsThickenerUnderflowStream_Cu;$C$485
